Data_Cadastro,ID_Cliente,Idade,Genero,CEP
2021-07-01,2762,17,Feminino,57150-000
2021-03-11,25961,69,Feminino,57150-000
2020-11-01,32731,47,Feminino,57150-000
2020-12-20,50890,67,Feminino,57150-000
2022-08-03,94702,26,Feminino,57150-000
2022-11-23,14,51,Feminino,57800-000
2024-01-16,5151,36,Feminino,57800-000
2023-04-06,14811,45,Feminino,57800-000
2020-03-19,20606,15,Feminino,57800-000
2021-07-22,66983,47,Feminino,57800-000
2020-03-17,10741,47,Feminino,57160-000
2022-07-11,13248,49,Feminino,57160-000
2022-02-14,14685,59,Feminino,57160-000
2020-06-13,35637,42,Feminino,57160-000
2020-05-10,41337,20,Feminino,57160-000
2020-06-20,45474,55,Feminino,57160-000
2020-05-16,87004,19,Feminino,57160-000
2024-02-25,90072,25,Feminino,57160-000
2020-08-31,90624,43,Feminino,57160-000
2020-03-30,92165,22,Feminino,57160-000
2023-10-26,92617,61,Feminino,57160-000
2020-05-16,9684,25,Feminino,57100-000
2024-02-29,13107,61,Feminino,57100-000
2021-05-17,20261,61,Feminino,57100-000
2024-03-20,40735,46,Feminino,57100-000
2022-08-20,41711,66,Feminino,57100-000
2023-08-13,10311,67,Feminino,57071
2022-08-08,45116,35,Feminino,57071
2021-05-29,70717,23,Feminino,57071
2024-05-06,76915,47,Feminino,57071
2022-06-16,79643,57,Feminino,57071
2020-04-24,80802,51,Feminino,57071
2022-11-10,81091,54,Feminino,57071
2022-11-23,14743,48,Feminino,57018
2022-04-21,26299,47,Feminino,57018
2020-03-30,47810,69,Feminino,57018
2020-01-11,67454,41,Feminino,57018
2021-08-29,30482,48,Feminino,57920-000
2022-06-25,49148,34,Feminino,57920-000
2022-11-16,30328,52,Feminino,99502
2022-05-11,67768,29,Feminino,99502
2021-07-11,59562,54,Feminino,99515
2023-10-27,67546,42,Feminino,99515
2021-11-20,94978,62,Feminino,99515
2021-08-06,78157,24,Feminino,99508
2020-10-20,94844,26,Feminino,99508
2021-03-09,15132,12,Feminino,99507
2023-09-05,74028,37,Feminino,99507
2021-09-28,10037,37,Feminino,99645
2022-10-03,24287,47,Feminino,99645
2023-04-06,73701,46,Feminino,99645
2022-06-08,96953,31,Feminino,99577
2023-12-25,59982,35,Feminino,99709
2022-08-26,97623,34,Feminino,99705
2021-03-19,10333,31,Feminino,99801
2024-01-01,13552,43,Feminino,99801
2020-06-09,59816,36,Feminino,99801
2022-07-15,4833,56,Feminino,68924-000
2023-08-10,10299,27,Feminino,68924-000
2024-06-25,12324,69,Feminino,68924-000
2020-12-15,40509,18,Feminino,68924-000
2024-01-18,83237,36,Feminino,68924-000
2024-02-25,84558,58,Feminino,68924-000
2020-11-20,4662,62,Feminino,68925-000
2022-03-22,11353,30,Feminino,68925-000
2023-08-16,19045,30,Feminino,68925-000
2022-05-14,38680,52,Feminino,68925-000
2021-06-22,42377,39,Feminino,68925-000
2022-08-03,45930,19,Feminino,68925-000
2021-03-12,82944,69,Feminino,68925-000
2022-04-09,96622,22,Feminino,68925-000
2024-04-14,97052,18,Feminino,68925-000
2020-12-03,99440,63,Feminino,68925-000
2023-11-01,6816,56,Feminino,68903
2024-04-23,9400,13,Feminino,68903
2024-04-13,15359,46,Feminino,68903
2023-12-16,66335,33,Feminino,68903
2020-11-17,15802,31,Feminino,68904
2020-01-28,29238,53,Feminino,68904
2022-08-26,98246,59,Feminino,68904
2020-10-05,51222,51,Feminino,68900
2021-11-27,55100,70,Feminino,68900
2023-03-09,79247,29,Feminino,68900
2021-07-30,53658,38,Feminino,68905
2023-09-08,2926,27,Feminino,68902
2020-02-17,8933,28,Feminino,68902
2024-06-27,87240,44,Feminino,68902
2020-07-29,99838,65,Feminino,68902
2023-08-04,2469,20,Feminino,68908
2024-06-24,10881,33,Feminino,68908
2020-04-30,13442,40,Feminino,68908
2020-05-25,19450,66,Feminino,68908
2022-10-28,24272,57,Feminino,68908
2022-03-20,43619,50,Feminino,68908
2023-03-16,52393,40,Feminino,68908
2020-12-13,75358,34,Feminino,68908
2020-10-27,77947,48,Feminino,68908
2023-02-26,79524,61,Feminino,68908
2024-01-26,82528,60,Feminino,68908
2022-05-18,84023,31,Feminino,68908
2023-05-25,49149,29,Feminino,68907
2020-02-06,52330,53,Feminino,68907
2023-07-20,68628,35,Feminino,68907
2023-04-20,226,54,Feminino,69895-000
2021-01-25,24625,60,Feminino,69895-000
2021-02-04,62022,66,Feminino,69895-000
2022-01-03,91958,12,Feminino,69895-000
2020-08-13,68,67,Feminino,69630-000
2020-11-01,3923,60,Feminino,69630-000
2020-09-19,59543,55,Feminino,69630-000
2020-02-16,63154,57,Feminino,69630-000
2021-07-02,30761,40,Feminino,69880-000
2024-05-16,32991,45,Feminino,69880-000
2021-05-06,38714,65,Feminino,69880-000
2024-01-09,76548,47,Feminino,69880-000
2022-11-15,31746,66,Feminino,910008
2022-06-27,46448,35,Feminino,910008
2020-11-07,2887,32,Feminino,69640-000
2021-12-24,4337,34,Feminino,69640-000
2022-04-24,17531,69,Feminino,69640-000
2022-12-22,43136,27,Feminino,69640-000
2020-04-08,49172,56,Feminino,69640-000
2021-02-05,92345,29,Feminino,69640-000
2023-09-26,18098,32,Feminino,69600-000
2020-04-28,79018,48,Feminino,69600-000
2022-04-21,83436,65,Feminino,69600-000
2023-09-05,88008,62,Feminino,69750-000
2021-09-07,88619,53,Feminino,69750-000
2023-12-24,99071,51,Feminino,69750-000
2022-07-29,863,57,Feminino,69830-000
2020-07-31,26849,61,Feminino,69830-000
2023-05-24,43512,52,Feminino,69830-000
2023-04-11,45707,41,Feminino,69830-000
2024-04-24,48745,60,Feminino,69830-000
2024-06-26,54497,42,Feminino,69830-000
2020-05-21,11250,51,Feminino,69470-000
2021-09-25,24789,46,Feminino,69470-000
2021-04-26,37200,55,Feminino,69470-000
2023-10-09,59491,17,Feminino,69470-000
2024-04-12,60650,33,Feminino,69470-000
2023-04-13,93069,25,Feminino,69470-000
2022-10-27,6444,21,Feminino,69460-000
2023-01-03,13668,14,Feminino,69460-000
2020-06-08,14528,15,Feminino,69460-000
2022-01-04,23600,20,Feminino,69460-000
2022-12-09,24640,65,Feminino,69460-000
2022-03-04,27361,15,Feminino,69460-000
2020-10-24,50714,43,Feminino,69460-000
2023-08-29,63097,60,Feminino,69460-000
2023-12-01,63377,30,Feminino,69460-000
2022-09-23,84602,54,Feminino,69460-000
2020-03-31,84718,19,Feminino,69460-000
2024-06-25,3779,33,Feminino,69800-000
2020-11-24,45833,48,Feminino,69800-000
2023-04-23,99066,47,Feminino,69800-000
2023-04-16,8550,17,Feminino,69280-000
2021-05-22,16843,40,Feminino,69280-000
2020-07-17,61374,59,Feminino,69280-000
2024-06-22,88741,33,Feminino,69280-000
2023-06-27,91029,18,Feminino,69280-000
2024-01-05,98965,27,Feminino,69280-000
2022-02-12,16228,47,Feminino,69400-000
2020-12-08,22806,63,Feminino,69400-000
2020-03-22,27837,25,Feminino,69400-000
2020-12-20,59456,23,Feminino,69400-000
2023-08-16,65499,60,Feminino,69400-000
2021-10-06,79331,70,Feminino,69400-000
2020-08-13,26932,66,Feminino,69435-000
2022-07-07,7175,13,Feminino,69405-000
2020-04-19,14494,21,Feminino,69405-000
2023-06-08,69471,59,Feminino,69405-000
2023-10-27,70541,39,Feminino,69405-000
2023-08-25,92052,52,Feminino,69405-000
2021-06-10,61727,42,Feminino,69250-000
2020-01-01,65704,44,Feminino,69250-000
2021-12-09,78859,32,Feminino,69250-000
2021-11-12,80848,28,Feminino,69250-000
2022-03-03,8992,58,Feminino,69038
2021-09-19,35611,33,Feminino,69038
2023-10-24,1683,54,Feminino,69035
2023-04-10,59674,61,Feminino,69035
2020-06-20,92799,12,Feminino,69035
2021-12-10,44738,25,Feminino,69029
2023-02-10,65207,60,Feminino,69029
2022-06-15,74918,25,Feminino,69029
2021-08-24,81842,54,Feminino,69029
2021-01-21,94272,13,Feminino,69029
2021-06-29,25316,62,Feminino,69030-680
2023-07-31,27015,23,Feminino,69030-680
2024-01-23,29033,66,Feminino,69030-680
2020-02-24,30635,31,Feminino,69030-680
2022-02-04,58641,16,Feminino,69030-680
2022-08-03,78842,37,Feminino,69030-680
2022-11-02,32383,29,Feminino,69039
2022-02-05,54037,65,Feminino,69039
2023-05-13,74996,33,Feminino,69039
2020-09-23,83870,68,Feminino,69039
2022-08-14,87799,48,Feminino,69039
2020-07-12,91399,14,Feminino,69039
2022-09-13,94880,53,Feminino,69039
2020-01-28,1816,42,Feminino,69093
2024-05-15,8269,59,Feminino,69093
2023-08-21,31244,25,Feminino,69093
2023-04-16,36468,42,Feminino,69093
2023-11-21,61091,46,Feminino,69093
2020-12-31,71395,64,Feminino,69093
2023-07-24,7221,42,Feminino,69055-010
2022-09-21,12658,28,Feminino,69055-010
2021-01-14,19955,41,Feminino,69055-010
2023-05-15,22435,35,Feminino,69055-010
2024-06-22,24633,45,Feminino,69055-010
2023-12-24,32348,42,Feminino,69055-010
2024-03-05,51434,44,Feminino,69055-010
2023-08-23,52896,24,Feminino,69055-010
2024-04-19,60915,63,Feminino,69055-010
2020-04-25,80701,52,Feminino,69055-010
2020-10-09,87733,26,Feminino,69055-010
2021-06-12,97711,33,Feminino,69055-010
2021-07-01,12045,59,Feminino,69090
2021-09-29,16223,47,Feminino,69090
2022-12-11,25886,69,Feminino,69090
2024-04-30,33065,50,Feminino,69090
2020-05-23,33738,28,Feminino,69090
2021-02-01,45996,16,Feminino,69090
2024-02-15,46353,47,Feminino,69090
2024-04-20,49947,54,Feminino,69090
2024-04-23,54159,23,Feminino,69090
2021-01-13,70861,43,Feminino,69090
2021-12-13,90425,62,Feminino,69090
2021-10-13,97339,22,Feminino,69090
2021-05-11,68466,22,Feminino,69073
2023-01-16,97712,49,Feminino,69073
2020-08-16,35223,30,Feminino,69075-005
2021-12-21,48717,52,Feminino,69075-005
2021-02-09,68852,41,Feminino,69075-005
2024-05-09,72748,61,Feminino,69075-005
2021-11-16,75150,29,Feminino,69075-005
2022-07-07,18476,25,Feminino,69735-000
2023-09-12,24324,39,Feminino,69735-000
2024-06-26,40203,41,Feminino,69735-000
2020-06-11,43144,40,Feminino,69735-000
2022-04-28,64598,24,Feminino,69735-000
2023-11-28,98104,17,Feminino,69735-000
2023-09-25,2234,19,Feminino,69095
2024-05-04,57935,16,Feminino,69095
2022-05-17,88576,23,Feminino,69095
2023-06-05,93215,19,Feminino,69095
2022-06-02,28134,67,Feminino,69096-000
2021-12-17,66291,37,Feminino,69096-000
2020-08-02,71798,22,Feminino,69096-000
2023-12-22,77589,64,Feminino,69082
2023-09-14,12593,44,Feminino,69097
2023-09-09,56903,27,Feminino,69097
2022-05-19,65534,59,Feminino,69097
2023-02-16,72702,57,Feminino,69097
2023-11-26,83437,53,Feminino,69097
2021-06-27,83891,67,Feminino,69097
2020-01-16,13321,60,Feminino,69098
2021-03-22,16903,17,Feminino,69098
2022-04-10,35790,69,Feminino,69098
2024-03-22,40904,17,Feminino,69098
2022-08-23,52418,28,Feminino,69098
2021-08-27,89956,56,Feminino,69098
2022-10-29,91507,52,Feminino,69098
2023-02-27,2986,37,Feminino,69099
2020-09-11,8547,40,Feminino,69099
2020-07-20,30969,24,Feminino,69099
2024-03-03,34510,12,Feminino,69099
2023-03-13,56178,58,Feminino,69099
2024-05-12,59361,66,Feminino,69099
2023-12-19,64160,68,Feminino,69099
2020-09-04,71156,14,Feminino,69099
2020-05-26,82443,38,Feminino,69099
2020-11-17,84091,50,Feminino,69099
2022-09-05,11553,61,Feminino,69085
2020-11-04,13502,64,Feminino,69085
2024-05-19,40177,42,Feminino,69085
2022-05-28,43356,22,Feminino,69085
2023-06-03,59768,55,Feminino,69085
2023-10-31,73576,40,Feminino,69085
2023-09-15,82863,30,Feminino,69085
2020-04-14,84994,12,Feminino,69085
2024-06-24,86224,21,Feminino,69085
2023-02-14,87550,37,Feminino,69085
2024-01-24,92883,46,Feminino,69085
2021-10-24,98005,31,Feminino,69085
2022-03-19,6296,64,Feminino,69089
2020-12-15,20492,37,Feminino,69089
2020-01-16,60523,65,Feminino,69089
2020-05-29,65583,38,Feminino,69089
2021-11-30,79344,58,Feminino,69089
2020-06-02,96799,68,Feminino,69089
2020-09-28,20101,57,Feminino,69084
2022-10-24,20937,20,Feminino,69084
2021-04-30,28937,26,Feminino,69084
2021-07-03,29122,40,Feminino,69084
2021-01-19,60019,15,Feminino,69084
2022-10-09,67960,29,Feminino,69084
2021-08-04,13756,34,Feminino,69086
2022-05-09,17628,30,Feminino,69086
2022-04-21,19569,70,Feminino,69086
2024-03-31,20420,69,Feminino,69086
2021-09-23,22093,34,Feminino,69086
2020-02-09,22613,19,Feminino,69086
2023-04-11,29443,25,Feminino,69086
2022-06-04,30677,53,Feminino,69086
2020-07-07,36317,29,Feminino,69086
2021-08-08,68717,24,Feminino,69086
2023-07-27,71727,20,Feminino,69086
2023-03-30,76596,53,Feminino,69086
2021-02-12,80772,29,Feminino,69086
2024-01-04,81653,53,Feminino,69086
2021-04-14,82206,17,Feminino,69086
2021-03-12,83670,32,Feminino,69086
2023-05-07,7746,55,Feminino,69088
2022-09-09,23858,66,Feminino,69088
2020-10-21,33247,27,Feminino,69088
2021-11-07,53148,37,Feminino,69088
2023-01-14,80347,48,Feminino,69088
2023-04-19,88948,28,Feminino,69088
2021-08-02,94742,49,Feminino,69088
2022-12-31,69474,32,Feminino,69117-000
2022-02-17,45220,17,Feminino,69200-000
2024-06-23,78323,59,Feminino,69200-000
2023-11-18,80882,62,Feminino,69200-000
2023-07-02,22457,69,Feminino,69240-000
2022-06-02,67497,60,Feminino,69240-000
2023-11-04,68849,70,Feminino,69240-000
2020-02-28,69630,34,Feminino,69240-000
2024-05-03,5846,33,Feminino,69100-000
2024-06-23,9170,35,Feminino,69100-000
2022-09-20,9425,58,Feminino,69100-000
2022-07-18,34538,18,Feminino,69100-000
2023-09-07,41959,45,Feminino,69100-000
2023-03-13,45808,39,Feminino,69100-000
2021-09-06,64774,64,Feminino,69100-000
2021-10-25,68091,54,Feminino,69100-000
2023-02-25,78281,31,Feminino,69100-000
2024-04-13,92322,17,Feminino,69100-000
2023-05-06,4032,53,Feminino,69230-000
2023-04-18,12103,23,Feminino,69230-000
2023-03-01,31916,30,Feminino,69230-000
2020-08-09,67627,69,Feminino,69230-000
2023-02-10,71229,23,Feminino,69230-000
2021-04-25,7073,35,Feminino,69190-000
2021-11-01,39767,62,Feminino,69190-000
2022-11-25,79126,45,Feminino,69190-000
2020-02-07,89004,33,Feminino,69190-000
2022-08-14,29360,57,Feminino,21410
2024-01-17,35441,45,Feminino,21410
2023-12-16,21559,59,Feminino,21440
2022-03-22,31355,30,Feminino,21440
2021-02-03,6095,16,Feminino,21450
2020-05-27,35311,20,Feminino,21450
2024-06-25,35981,61,Feminino,21110
2023-05-20,46415,36,Feminino,21100
2020-06-06,33525,17,Feminino,21500
2021-12-10,96007,24,Feminino,21500
2022-11-01,87952,45,Feminino,21001
2023-01-11,21289,58,Feminino,21002
2022-01-09,34961,28,Feminino,21004
2023-12-23,21745,19,Feminino,21003
2022-01-27,35664,47,Feminino,21005
2023-01-09,69861,64,Feminino,21005
2021-07-19,8750,65,Feminino,21007
2022-08-26,37702,27,Feminino,21007
2021-02-15,51236,47,Feminino,21007
2021-09-08,83848,60,Feminino,21007
2020-01-24,17256,51,Feminino,21620
2021-12-10,17233,37,Feminino,21710
2023-12-05,99466,13,Feminino,11550
2020-06-25,7200,27,Feminino,11520
2020-01-16,25249,27,Feminino,11540
2021-04-25,11440,64,Feminino,11007
2020-11-11,95792,44,Feminino,41800
2022-08-26,19621,42,Feminino,11500
2021-10-02,22603,30,Feminino,11500
2021-07-17,26673,27,Feminino,11500
2021-05-04,76512,16,Feminino,11500
2021-01-06,78770,49,Feminino,11500
2021-06-24,18812,44,Feminino,11100
2020-05-29,20343,40,Feminino,11100
2022-07-08,36608,56,Feminino,11100
2021-12-02,65614,42,Feminino,11100
2023-02-22,32328,23,Feminino,41804
2022-04-27,83066,59,Feminino,41804
2024-01-14,15772,36,Feminino,11408
2023-01-28,16248,41,Feminino,11408
2021-07-16,24847,41,Feminino,11408
2023-10-10,40729,50,Feminino,11408
2023-12-24,84881,42,Feminino,41110
2020-10-27,2069,63,Feminino,11407
2024-06-24,37284,51,Feminino,11407
2022-04-03,84166,16,Feminino,11407
2024-03-15,61522,55,Feminino,41807
2022-06-09,71778,54,Feminino,41807
2023-12-12,89501,46,Feminino,41807
2021-10-11,26787,39,Feminino,11130
2021-06-29,81354,49,Feminino,11130
2022-10-10,53699,56,Feminino,11510
2022-10-25,42692,52,Feminino,41210
2022-07-27,75334,49,Feminino,41960
2023-12-14,12912,64,Feminino,41927
2022-10-22,14794,65,Feminino,41927
2020-09-21,16219,22,Feminino,41740
2024-02-28,75188,70,Feminino,41740
2023-08-31,18442,46,Feminino,41940
2021-09-16,22640,54,Feminino,41100
2021-09-29,58516,12,Feminino,41900
2020-01-13,42079,27,Feminino,41010
2022-04-06,72007,62,Feminino,41010
2022-07-08,8525,18,Feminino,41011
2020-02-26,69522,64,Feminino,41011
2022-12-31,80079,69,Feminino,41011
2024-05-16,85172,41,Feminino,41011
2020-08-01,37136,58,Feminino,41092
2020-02-06,87499,48,Feminino,41001
2021-06-18,51592,16,Feminino,41002
2024-03-08,21603,48,Feminino,41012
2023-07-26,12300,39,Feminino,41009
2022-10-25,59827,61,Feminino,41018
2023-03-12,57879,43,Feminino,41200
2023-09-23,54816,66,Feminino,41008
2022-02-06,5431,38,Feminino,41013
2024-04-02,24430,35,Feminino,41013
2022-01-24,46330,28,Feminino,41013
2021-12-08,76077,17,Feminino,41013
2021-03-08,48179,48,Feminino,41005
2022-04-18,38866,43,Feminino,41703
2020-02-14,15420,14,Feminino,41007
2024-06-23,49450,16,Feminino,41007
2023-06-23,54896,14,Feminino,41007
2021-01-24,82951,12,Feminino,41007
2023-10-27,38450,55,Feminino,11400
2021-04-30,48637,32,Feminino,11400
2020-04-15,74664,70,Feminino,11400
2022-06-14,19904,69,Feminino,41006
2021-01-12,23834,51,Feminino,41006
2020-11-17,53456,34,Feminino,41006
2022-07-04,71795,28,Feminino,11150
2021-05-11,6720,22,Feminino,41089
2023-09-26,79082,67,Feminino,41089
2022-10-05,42447,58,Feminino,41300
2024-01-25,61758,47,Feminino,41300
2023-04-30,85333,50,Feminino,41300
2022-06-10,11659,47,Feminino,41730
2023-03-18,1383,24,Feminino,41720
2020-10-19,11227,60,Feminino,41720
2021-03-20,97147,70,Feminino,41720
2021-08-25,7286,25,Feminino,41020
2020-02-24,43413,45,Feminino,41020
2020-09-18,44892,18,Feminino,41020
2021-06-02,67276,33,Feminino,41020
2020-05-11,75392,15,Feminino,41020
2023-08-15,69750,40,Feminino,41019
2021-04-06,23699,30,Feminino,41702
2021-09-12,8139,15,Feminino,41016
2022-09-17,35497,69,Feminino,11160
2023-06-02,71747,66,Feminino,41320
2020-05-12,22957,22,Feminino,41500
2023-11-17,40206,56,Feminino,41500
2020-08-21,61473,40,Feminino,41500
2020-07-17,65075,18,Feminino,41500
2022-08-11,88478,69,Feminino,41500
2023-08-31,28872,15,Feminino,41710
2021-06-06,7254,29,Feminino,41520
2021-08-26,61635,52,Feminino,41410
2023-05-09,73166,12,Feminino,41410
2022-02-01,76178,57,Feminino,41410
2024-02-07,1596,39,Feminino,11650
2023-10-12,51843,46,Feminino,11650
2022-04-30,55477,69,Feminino,11650
2022-12-03,96472,58,Feminino,41600
2023-08-18,51267,39,Feminino,11370
2021-11-09,10966,29,Feminino,11206
2023-12-19,35306,22,Feminino,11206
2023-01-16,82838,21,Feminino,11206
2020-06-17,95027,40,Feminino,11206
2024-06-19,68394,20,Feminino,11600
2021-10-15,10906,44,Feminino,11207
2021-03-01,52657,21,Feminino,11207
2023-09-02,3520,44,Feminino,11205
2020-12-27,31554,70,Feminino,11205
2020-07-17,54336,70,Feminino,11205
2021-09-08,81239,27,Feminino,11205
2020-07-02,5316,62,Feminino,41620
2022-04-28,34301,45,Feminino,11300
2022-09-30,63932,51,Feminino,11300
2020-05-16,12389,59,Feminino,11360
2020-09-21,21458,56,Feminino,11315
2023-09-22,59642,17,Feminino,11690
2023-12-31,34932,46,Feminino,41540
2020-09-30,33051,40,Feminino,14200
2022-09-19,8318,61,Feminino,14700
2020-03-11,37925,40,Feminino,29400
2020-06-29,21369,52,Feminino,41640
2023-12-04,6999,51,Feminino,29670
2023-01-21,86385,36,Feminino,29602
2023-02-02,10457,46,Feminino,14011
2021-04-15,18344,70,Feminino,14011
2020-05-09,19651,31,Feminino,14011
2023-10-28,28552,32,Feminino,14011
2020-03-15,41674,62,Feminino,29603
2022-09-19,3314,58,Feminino,14005
2023-06-04,26670,64,Feminino,14005
2020-01-20,35107,68,Feminino,14012
2023-10-15,99802,59,Feminino,14012
